link_id,x,y,lat,lon,angle
19,526256.7574223478,4195560.638440146,37.90719857750162,-122.70131532682412,322.5830552236173
19,526250.3436743082,4195568.931988719,37.90727351171286,-122.70138798364042,322.5830107010818
19,526243.9299262688,4195577.225537291,37.90734844587891,-122.70146064060388,322.5829661852715
19,526237.5161782291,4195585.519085864,37.90742337999978,-122.7015332977145,322.58292166771764
19,526231.1256874269,4195593.7818659805,37.90749803609112,-122.70160569153092,323.8441975082252
19,526224.8966686416,4195602.2142124735,37.90757421577014,-122.70167624250588,323.86459022268735
19,526218.6702660874,4195610.649319057,37.90765042020754,-122.7017467637648,323.8645470212272
19,526212.4438635332,4195619.08442564,37.90772662460232,-122.70181728516897,323.864503830521
19,526206.1770790998,4195627.572123681,37.9078033041205,-122.70188826416943,321.6958434034578
19,526199.6216064668,4195635.7825444555,37.907877492833514,-122.70196253736975,320.87638447229
19,526192.9635229262,4195643.881250241,37.907950677576096,-122.70203798203087,320.87638447229
20,526266.7802262078,4195541.958480279,37.907029927136705,-122.70120199432347,144.55263536383478
20,526272.6333135914,4195533.826339496,37.906956463759215,-122.70113570976456,144.55267596170745
20,526278.4864009749,4195525.694198714,37.90688300034402,-122.70106942533721,144.55271655497313
20,526284.3394883585,4195517.562057932,37.906809536891146,-122.70100314104144,144.5527571530639
20,526290.192575742,4195509.429917149,37.90673607340057,-122.70093685687725,144.55279773856904
20,526296.0456631257,4195501.297776367,37.906662609872306,-122.7008705728446,144.5528383369342
20,526301.8987505093,4195493.165635584,37.906589146306345,-122.70080428894352,144.55287891796962
20,526307.7518378928,4195485.033494802,37.9065156827027,-122.70073800517399,144.5529195329044
20,526313.6049252764,4195476.9013540195,37.90644221906135,-122.70067172153607,144.5529600991473
20,526319.4580126599,4195468.769213237,37.90636875538232,-122.70060543802965,144.5530007108407
20,526325.3111000435,4195460.637072454,37.90629529166559,-122.70053915465485,144.55304127964564
20,526331.164187427,4195452.5049316725,37.906221827911196,-122.70047287141156,144.55308189166965
20,526337.0172748106,4195444.37279089,37.90614836411908,-122.70040658829987,144.55312247816005
